Section name,Ti,TiD
BISH-BABOGAYA11-1A-1U-10A,0.031464147,314.64147
BISH-BABOGAYA11-1A-1U-10A,0.035261887,352.61887
BISH-BABOGAYA11-1A-1U-10A,0.031970634,319.70634
BISH-BABOGAYA11-1A-1U-10A,0.035388369,353.88369
BISH-BABOGAYA11-1A-1U-10A,0.026913246,269.13246
BISH-BABOGAYA11-1A-1U-10A,0.024072277,240.72277
BISH-BABOGAYA11-1A-1U-10A,0.021253795,212.53795
BISH-BABOGAYA11-1A-1U-10A,0.025794247,257.94247
BISH-BABOGAYA11-1A-1U-10A,0.024987373,249.87373
BISH-BABOGAYA11-1A-1U-10A,0.02635736,263.5736
BISH-BABOGAYA11-1A-1U-10A,0.026702854,267.02854
BISH-BABOGAYA11-1A-1U-10A,0.030944435,309.44435
BISH-BABOGAYA11-1A-1U-10A,0.032107083,321.07083
BISH-BABOGAYA11-1A-1U-10A,0.033179997,331.79997
BISH-BABOGAYA11-1A-1U-10A,0.037222856,372.22856
BISH-BABOGAYA11-1A-1U-10A,0.038297104,382.97104
BISH-BABOGAYA11-1A-1U-10A,0.0384084,384.084
BISH-BABOGAYA11-1A-1U-10A,0.039111659,391.11659
BISH-BABOGAYA11-1A-1U-10A,0.034168919,341.68919
BISH-BABOGAYA11-1A-1U-10A,0.03097359,309.7359
BISH-BABOGAYA11-1A-1U-10A,0.026057332,260.57332
BISH-BABOGAYA11-1A-1U-10A,0.030057382,300.57382
BISH-BABOGAYA11-1A-1U-10A,0.033087558,330.87558
BISH-BABOGAYA11-1A-1U-10A,0.035221036,352.21036
BISH-BABOGAYA11-1A-1U-10A,0.036703786,367.03786
BISH-BABOGAYA11-1A-1U-10A,0.034935015,349.35015
BISH-BABOGAYA11-1A-1U-10A,0.034980697,349.80697
BISH-BABOGAYA11-1A-1U-10A,0.031739513,317.39513
BISH-BABOGAYA11-1A-1U-10A,0.037400208,374.00208
BISH-BABOGAYA11-1A-1U-10A,0.032785487,327.85487
BISH-BABOGAYA11-1A-1U-10A,0.029029772,290.29772
BISH-BABOGAYA11-1A-1U-10A,0.033850616,338.50616
BISH-BABOGAYA11-1A-1U-10A,0.031464174,314.64174
BISH-BABOGAYA11-1A-1U-10A,0.031562914,315.62914
BISH-BABOGAYA11-1A-1U-10A,0.030347023,303.47023
BISH-BABOGAYA11-1A-1U-10A,0.031019786,310.19786
BISH-BABOGAYA11-1A-1U-10A,0.034593747,345.93747
BISH-BABOGAYA11-1A-1U-10A,0.03089825,308.9825
BISH-BABOGAYA11-1A-1U-10A,0.040093357,400.93357
BISH-BABOGAYA11-1A-1U-10A,0.040871935,408.71935
BISH-BABOGAYA11-1A-1U-10A,0.046177096,461.77096
BISH-BABOGAYA11-1A-1U-10A,0.044448926,444.48926
BISH-BABOGAYA11-1A-1U-10A,0.037510809,375.10809
BISH-BABOGAYA11-1A-1U-10A,0.030205184,302.05184
BISH-BABOGAYA11-1A-1U-10A,0.025052638,250.52638
BISH-BABOGAYA11-1A-1U-10A,0.019986175,199.86175
BISH-BABOGAYA11-1A-1U-10A,0.019095963,190.95963
BISH-BABOGAYA11-1A-1U-10A,0.020647,206.47
BISH-BABOGAYA11-1A-1U-10A,0.024107856,241.07856
BISH-BABOGAYA11-1A-1U-10A,0.025297482,252.97482
BISH-BABOGAYA11-1A-1U-10A,0.024634518,246.34518
BISH-BABOGAYA11-1A-1U-10A,0.029142099,291.42099
BISH-BABOGAYA11-1A-1U-10A,0.028224311,282.24311
BISH-BABOGAYA11-1A-1U-10A,0.034494589,344.94589
BISH-BABOGAYA11-1A-1U-10A,0.034578496,345.78496
BISH-BABOGAYA11-1A-1U-10A,0.037791434,377.91434
BISH-BABOGAYA11-1A-1U-10A,0.039886404,398.86404
BISH-BABOGAYA11-1A-1U-10A,0.035961451,359.61451
BISH-BABOGAYA11-1A-1U-10A,0.039647431,396.47431
BISH-BABOGAYA11-1A-1U-10A,0.035367289,353.67289
BISH-BABOGAYA11-1A-1U-10A,0.035960991,359.60991
BISH-BABOGAYA11-1A-1U-10A,0.03345293,334.5293
BISH-BABOGAYA11-1A-1U-10A,0.045198521,451.98521
BISH-BABOGAYA11-1A-1U-10A,0.041431773,414.31773
BISH-BABOGAYA11-1A-1U-10A,0.035809691,358.09691
BISH-BABOGAYA11-1A-1U-10A,0.030076211,300.76211
BISH-BABOGAYA11-1A-1U-10A,0.030264179,302.64179
BISH-BABOGAYA11-1A-1U-10A,0.034273246,342.73246
BISH-BABOGAYA11-1A-1U-10A,0.035861238,358.61238
BISH-BABOGAYA11-1A-1U-10A,0.041442174,414.42174
BISH-BABOGAYA11-1A-1U-10A,0.040757359,407.57359
BISH-BABOGAYA11-1A-1U-10A,0.042772195,427.72195
BISH-BABOGAYA11-1A-1U-10A,0.046142183,461.42183
BISH-BABOGAYA11-1A-1U-10A,0.046574194,465.74194
BISH-BABOGAYA11-1A-1U-10A,0.039606703,396.06703
BISH-BABOGAYA11-1A-1U-10A,0.038059941,380.59941
BISH-BABOGAYA11-1A-1U-10A,0.036863726,368.63726
BISH-BABOGAYA11-1A-1U-10A,0.034753798,347.53798
BISH-BABOGAYA11-1A-1U-10A,0.041032847,410.32847
BISH-BABOGAYA11-1A-1U-10A,0.042004422,420.04422
BISH-BABOGAYA11-1A-1U-10A,0.037828074,378.28074
BISH-BABOGAYA11-1A-1U-10A,0.038597746,385.97746
BISH-BABOGAYA11-1A-1U-10A,0.036386095,363.86095
BISH-BABOGAYA11-1A-1U-10A,0.039438408,394.38408
BISH-BABOGAYA11-1A-1U-10A,0.042774729,427.74729
BISH-BABOGAYA11-1A-1U-10A,0.044356267,443.56267
BISH-BABOGAYA11-1A-1U-10A,0.046970966,469.70966
BISH-BABOGAYA11-1A-1U-10A,0.043253982,432.53982
BISH-BABOGAYA11-1A-1U-10A,0.036756757,367.56757
BISH-BABOGAYA11-1A-1U-10A,0.037152873,371.52873
BISH-BABOGAYA11-1A-1U-10A,0.039198667,391.98667
BISH-BABOGAYA11-1A-1U-10A,0.038585992,385.85992
BISH-BABOGAYA11-1A-1U-10A,0.037352737,373.52737
BISH-BABOGAYA11-1A-1U-10A,0.047308437,473.08437
BISH-BABOGAYA11-1A-1U-10A,0.046527097,465.27097
BISH-BABOGAYA11-1A-1U-10A,0.036752956,367.52956
BISH-BABOGAYA11-1A-1U-10A,0.033342833,333.42833
BISH-BABOGAYA11-1A-1U-10A,0.036130167,361.30167
BISH-BABOGAYA11-1A-1U-10A,0.035179017,351.79017
BISH-BABOGAYA11-1A-1U-10A,0.035385901,353.85901
BISH-BABOGAYA11-1A-1U-10A,0.03900503,390.0503
BISH-BABOGAYA11-1A-1U-10A,0.036735667,367.35667
BISH-BABOGAYA11-1A-1U-10A,0.040500483,405.00483
BISH-BABOGAYA11-1A-1U-10A,0.033778981,337.78981
BISH-BABOGAYA11-1A-1U-10A,0.037112533,371.12533
BISH-BABOGAYA11-1A-1U-10A,0.031529478,315.29478
BISH-BABOGAYA11-1A-1U-10A,0.031740307,317.40307
BISH-BABOGAYA11-1A-1U-10A,0.028098524,280.98524
BISH-BABOGAYA11-1A-1U-10A,0.025474654,254.74654
BISH-BABOGAYA11-1A-1U-10A,0.028390698,283.90698
BISH-BABOGAYA11-1A-1U-10A,0.032256843,322.56843
BISH-BABOGAYA11-1A-1U-10A,0.033518038,335.18038
BISH-BABOGAYA11-1A-1U-10A,0.030607902,306.07902
BISH-BABOGAYA11-1A-1U-10A,0.033319061,333.19061
